year,title,author1,author2,author3,author4,author5,author6,author7,author8,author9,author10,author11,author12,author13,author14,author15
2014,Sensory Input to Central Pattern Generators.,Wolfgang Stein,,,,,,,,,,,,,,
2014,"Behavioural Analysis, Bayesian.",Samuel J. Gershman,,,,,,,,,,,,,,
2014,Endocrine Cell Function and Dysfunction.,Richard Bertram,,,,,,,,,,,,,,
2014,"Peripheral Nerve Interface Applications, Obesity.",Mitchell Roslin,Andrew Brownlee,,,,,,,,,,,,,
2014,Directed Spectral Methods.,Adam B. Barrett,Anil K. Seth,,,,,,,,,,,,,
2014,Masking and Masking Release.,Andrew J. Oxenham,,,,,,,,,,,,,,
2014,Dynamics of Disease States: Overview.,John Milton,,,,,,,,,,,,,,
2014,"Decision Making, Threshold.",Paul Miller 0001,,,,,,,,,,,,,,
2014,neuroConstruct.,Padraig Gleeson,,,,,,,,,,,,,,
2014,Biomechanical Model of Low Back Pain.,Beth Winkelstein,Nicolas Jaumard,,,,,,,,,,,,,
2014,Deep Cerebellar Nuclei.,Dana Cohen 0001,,,,,,,,,,,,,,
2014,"Deep Brain Stimulation (Models, Theory, Techniques): Overview.",Peter Alexander Tass,Christian Hauptmann,,,,,,,,,,,,,
2014,Spectro-Temporal Receptive Fields.,Shihab Shamma,,,,,,,,,,,,,,
2014,Tempotron Learning.,Robert Gütig,Haim Sompolinsky,,,,,,,,,,,,,
2014,Insect Olfaction: A Model System for Neural Circuit Modeling.,Nitin Gupta 0002,Mark Stopfer,,,,,,,,,,,,,
2014,Peripheral Nerve Stimulation Technique: Nerve Block.,D. Michael Ackermann Jr.,Niloy Bhadra,,,,,,,,,,,,,
2014,Markov Models of Ion Channels.,Daniele Linaro,Michele Giugliano,,,,,,,,,,,,,
2014,Invertebrate Sensory Systems: Overview.,Fabrizio Gabbiani,,,,,,,,,,,,,,
2014,Retinal Disease and Remodeling.,Robert E. Marc,,,,,,,,,,,,,,
2014,"Gap Junctions, Neural Population Models and.",Moira L. Steyn-Ross,D. Alistair Steyn-Ross,Jamie W. Sleigh,,,,,,,,,,,,
2014,"Long-Term Plasticity, Biophysical Models.",Claudia Clopath,,,,,,,,,,,,,,
2014,Vision Prosthesis.,James D. Weiland,,,,,,,,,,,,,,
2014,Proprioception.,Gregg Tabot,,,,,,,,,,,,,,
2014,Hybrid Parameter Optimization Methods.,Werner Van Geit,,,,,,,,,,,,,,
2014,Spike-Frequency Adaptation.,Jan Benda,Joël Tabak,,,,,,,,,,,,,
2014,Independent Component Analysis of Images.,Aapo Hyvärinen,,,,,,,,,,,,,,
2014,Neuronal Parameter Sensitivity.,A. V. Olifer,,,,,,,,,,,,,,
2014,Collations of Connectivity Data on the Macaque Brain (CoCoMac).,Rembrandt Bakker,Markus Diesmann,,,,,,,,,,,,,
2014,Subthalamic Nucleus Cellular Models.,Charles J. Wilson,Michael A. Farries,,,,,,,,,,,,,
2014,"Theta, Gamma, and Cross-Frequency Coupling in the Hippocampus.",Jesse Jackson,,,,,,,,,,,,,,
2014,Peripheral Nerve Models.,Matthew A. Schiefer,,,,,,,,,,,,,,
2014,Modeling Cerebellar Learning: Input Minimization.,Thomas J. Anastasio,,,,,,,,,,,,,,
2014,"Neural Field Model, Continuum.",Axel Hutt,,,,,,,,,,,,,,
2014,"Neuromorphic Sensors, Cochlea.",Shih-Chii Liu,André van Schaik,,,,,,,,,,,,,
2014,Olfactory Computation in Mitral-Granule Cell Circuits.,Michele Migliore,Thomas S. McTavish,,,,,,,,,,,,,
2014,Biophysical Models of Olfactory Mitral and Granule Cells.,Guo-Shi Li,,,,,,,,,,,,,,
2014,Somatosensory System: Overview.,Sliman Bensmaia,,,,,,,,,,,,,,
2014,"Transfer Function, Electrocortical.",Behnam Molaee-Ardekani,Fabrice Wendling,,,,,,,,,,,,,
2014,Neuronal Parameter Co-regulation.,David J. Schulz,,,,,,,,,,,,,,
2014,Migraines and Cortical Spreading Depression.,Markus A. Dahlem,,,,,,,,,,,,,,
2014,Basal Ganglia: Habit Formation.,Barbara J. Knowlton,,,,,,,,,,,,,,
2014,Neuronal Parameter Non-uniqueness.,Jean-Marc Goaillard,,,,,,,,,,,,,,
2014,Applications of Information Theory to Analysis of Neural Data.,Simon R. Schultz,Robin A. A. Ince,Stefano Panzeri,,,,,,,,,,,,
2014,Physical Sectioning Microscopy.,Yoonsuck Choe,,,,,,,,,,,,,,
2014,Auditory Thalamocortical Transformations.,Kazuo Imaizumi,,,,,,,,,,,,,,
2014,NeuroMorpho.org.,Ruchi Parekh,Giorgio A. Ascoli,,,,,,,,,,,,,
2014,Auditory Memory.,Dawai Li,Nelson Cowan,,,,,,,,,,,,,
2014,Spiking Network Models and Theory: Overview.,Marc-Oliver Gewaltig,,,,,,,,,,,,,,
2014,Boltzmann Machine.,Joaquín J. Torres,,,,,,,,,,,,,,
2014,NeuroElectro Project.,Shreejoy J. Tripathy,Richard C. Gerkin,,,,,,,,,,,,,
2014,Stochastic Neural Field Theory.,Paul C. Bressloff,,,,,,,,,,,,,,
2014,Dendritic Spines.,William R. Holmes,,,,,,,,,,,,,,
2014,"Short Term Plasticity, Biophysical Models.",Robert Rosenbaum,,,,,,,,,,,,,,
2014,Spike Time Response Curve.,Theoden I. Netoff,,,,,,,,,,,,,,
2014,"Peripheral Nerve Signal Processing, Denoising.",Ken Yoshida,,,,,,,,,,,,,,
2014,"Neuroimaging, Neural Population Models for.",Ingo Bojak,Michael Breakspear,,,,,,,,,,,,,
2014,Cortical Motor Prosthesis.,Karthikeyan Balasubramanian,Nicholas G. Hatsopoulos,,,,,,,,,,,,,
2014,BrainMap.,Michael C. Riedel,Kimberly L. Ray,P. Mickle Fox,Angela M. Uecker,Simon B. Eickhoff,Peter T. Fox,Angela Marie Richmond Laird,,,,,,,,
2014,"Auditory Nerve Response, Afferent Signals.",Peter Heil,,,,,,,,,,,,,,
2014,Application of Declarative Programming in Neurobiology.,Thomas J. Anastasio,,,,,,,,,,,,,,
2014,Resistivity/Conductivity of Extracellular Medium.,Scott Lempka,Cameron C. McIntyre,,,,,,,,,,,,,
2014,"Phase Resetting, Measurement of Infinitessimal.",Klaus M. Stiefel,,,,,,,,,,,,,,
2014,Equivalent Cylinder Model (Rall).,William R. Holmes,,,,,,,,,,,,,,
2014,"Peripheral Nerve Interface Applications, Sleep Apnea.",Dominique M. Durand,,,,,,,,,,,,,,
2014,Wavelet Analysis.,Hualou Liang,,,,,,,,,,,,,,
2014,NEURON Simulation Environment.,Michael L. Hines,Ted Carnevale,,,,,,,,,,,,,
2014,Auditory Precedence Effect.,Barbara G. Shinn-Cunningham,,,,,,,,,,,,,,
2014,Computational Neuroanatomy: Overview.,Yoonsuck Choe,,,,,,,,,,,,,,
2014,"Calcium-Dependent Exocytosis, Biophysical Models of.",Victor Matveev,,,,,,,,,,,,,,
2014,"Neuromorphic Hardware, Large Scale.",Johannes Schemmel,,,,,,,,,,,,,,
2014,Computational Models of Motor Pools.,Charles J. Heckman,,,,,,,,,,,,,,
2014,Cable Theory: Overview.,William R. Holmes,,,,,,,,,,,,,,
2014,Retinal Prostheses for Restoration of Sight.,Daniel V. Palanker,,,,,,,,,,,,,,
2014,Synthetic Neuronal Circuits/Networks.,Padraig Gleeson,,,,,,,,,,,,,,
2014,Electrocorticogram (ECoG).,Biyu J. He,,,,,,,,,,,,,,
2014,Chloride Channels.,Steven A. Prescott,,,,,,,,,,,,,,
2014,State-Space Models for the Analysis of Neural Spike Train and Behavioral Data.,Zhe Chen 0001,Emery N. Brown,,,,,,,,,,,,,
2014,Modeling Synapses.,Jason S. Rothman,,,,,,,,,,,,,,
2014,NEST: The Neural Simulation Tool.,Hans Ekkehard Plesser,Markus Diesmann,Marc-Oliver Gewaltig,Abigail Morrison,,,,,,,,,,,
2014,"Decision Making, Models.",Paul Miller 0001,,,,,,,,,,,,,,
2014,Drosophila Connectome.,Arjun Bharioke,Louis K. Scheffer,Dmitri B. Chklovskii,Ian A. Meinertzhagen,,,,,,,,,,,
2014,Directed Information Flow and Causality in Neural Systems.,Michael C. Gastpar,,,,,,,,,,,,,,
2014,Physiology and Function of Cochlear Efferents.,John J. Guinan,,,,,,,,,,,,,,
2014,Somatosensory Neurons: Spike Timing.,Hannes P. Saal,,,,,,,,,,,,,,
2014,Sodium Channels.,Dominique Engel,,,,,,,,,,,,,,
2014,Brain Architecture Management System (BAMS).,Mihail Bota,,,,,,,,,,,,,,
2014,Short-Term Synaptic Plasticity in Central Pattern Generators.,Diana Martinez,Victor Matveev,Farzan Nadim,,,,,,,,,,,,
2014,Spectral Interdependency Methods.,Mukesh Dhamala,,,,,,,,,,,,,,
2014,Population Density Models.,Nicolas Brunel,Vincent Hakim,,,,,,,,,,,,,
2014,Morphologically Detailed Motoneuron Models.,Sherif M. Elbasiouny,,,,,,,,,,,,,,
2014,Computational Models Supporting Parameter Finding for Deep Brain Stimulation.,Nada Yousif,,,,,,,,,,,,,,
2014,"Facilitation, Biophysical Models.",Victor Matveev,,,,,,,,,,,,,,
2014,"Wiring Principles, Optimization.",Marcus Kaiser,Claus C. Hilgetag,,,,,,,,,,,,,
2014,"Phase Transitions, Neural Population Models and.",D. Alistair Steyn-Ross,Moira L. Steyn-Ross,Jamie W. Sleigh,,,,,,,,,,,,
2014,Dopaminergic Cell Models.,Alexey Kuznetsov 0002,Boris S. Gutkin,,,,,,,,,,,,,
2014,Spectral Methods in Neural Data Analysis: Overview.,Steven L. Bressler,,,,,,,,,,,,,,
2014,Spike Train.,Robert E. Kass,,,,,,,,,,,,,,
2014,"Transcriptional Control Dysfunction, Modeling.",Gillian Queisser,,,,,,,,,,,,,,
2014,Dendritic Spines: Continuum Theory.,Steven M. Baer,,,,,,,,,,,,,,
2014,"Connectome, Mouse.",Yoonsuck Choe,Jaerock Kwon,David Mayerich,Louise C. Abbott,,,,,,,,,,,
2014,Spinal Interfaces: Overview.,Michel Lemay,,,,,,,,,,,,,,
2014,Phototransduction Biophysics.,Mikko Juusola,Zhuoyi Song,Roger C. Hardie,,,,,,,,,,,,
2014,Olivocerebellar Pathway.,Martin Garwicz,,,,,,,,,,,,,,
2014,Time-Frequency Analysis.,Joerg F. Hipp,,,,,,,,,,,,,,
2014,"Local Field Potential, Methods of Recording.",Andrew Sharott,,,,,,,,,,,,,,
2014,"Connectome, General.",Yoonsuck Choe,,,,,,,,,,,,,,
2014,Multistability in Neurodynamics: Overview.,Gennady S. Cymbalyuk,,,,,,,,,,,,,,
2014,Pre-Botzinger Complex Rhythm Generation.,Natalia Toporikova,,,,,,,,,,,,,,
2014,Patch Clamp Technique.,Thomas Nowotny,Vincenzo Marra,,,,,,,,,,,,,
2014,Computational Models to Optimize the Electrodes and Waveforms for Deep Brain Stimulation.,Bryan Howell,Warren M. Grill 0001,,,,,,,,,,,,,
2014,Neuronal Model Databases.,Cengiz Günay,,,,,,,,,,,,,,
2014,"Cortical Function, Normative Models of.",Jochen Triesch,,,,,,,,,,,,,,
2014,Particle-Based Stochastic Simulators.,Kim T. Blackwell,,,,,,,,,,,,,,
2014,Information Geometry as Applied to Neural Spike Data.,Shun-ichi Amari,,,,,,,,,,,,,,
2014,Epidural Stimulation.,Yury P. Gerasimenko,Victor Reggie Edgerton,,,,,,,,,,,,,
2014,Dynamic Clamp Technique.,Thomas Nowotny,Pablo Varona,,,,,,,,,,,,,
2014,"Spontaneous Activity, Models of.",Joana Cabral,Gustavo Deco,,,,,,,,,,,,,
2014,"Local Field Potential, Ephaptic Interactions.",Costas A. Anastassiou,,,,,,,,,,,,,,
2014,Calcium-Dependent Potassium Channels.,Guillaume Drion,Fabian Philippart,Rodolphe Sepulchre,Vincent Seutin,,,,,,,,,,,
2014,"Resistivity, Axial.",John Bekkers,,,,,,,,,,,,,,
2014,"Working Memory, Models of.",Gianluigi Mongillo,,,,,,,,,,,,,,
2014,Models of Extracellular Signal-Regulated Kinases.,Susana R. Neves,,,,,,,,,,,,,,
2014,Neural Population Models and Cortical Field Theory: Overview.,Ingo Bojak,,,,,,,,,,,,,,
2014,Cx3D: Cortex Simulation in 3D.,Andreas Hauri,,,,,,,,,,,,,,
2014,Action Potential Initiation.,Dejan Zecevic,Marko Popovic,,,,,,,,,,,,,
2014,Estimation of Neuronal Firing Rate.,Shigeru Shinomoto,,,,,,,,,,,,,,
2014,"Phase Models, Noisy.",G. Bard Ermentrout,,,,,,,,,,,,,,
2014,"Decision Making, Bias.",Marijn van Wingerden,Tobias Kalenscher,,,,,,,,,,,,,
2014,Baroreflex Models.,Yaroslav I. Molkov,,,,,,,,,,,,,,
2014,"Calmodulin, Models of.",M. Neal Waxham,Margaret S. Cheung,,,,,,,,,,,,,
2014,Weak Coupling Theory.,Timothy J. Lewis,Michael A. Schwemmer,,,,,,,,,,,,,
2014,Neuropharmacological Modelling: Alterations in Ionic Homeostasis.,Nicolas Doyon,Annie Castonguay,Yves De Koninck,,,,,,,,,,,,
2014,"Neuromuscular Control Systems, Models of.",James J. Abbas,,,,,,,,,,,,,,
2014,"Striatal Models, Cellular Detail.",Kim T. Blackwell,Sriraman Damodaran,Rebekah C. Evans,,,,,,,,,,,,
2014,"Capacitance, Membrane.",Jorge Golowasch,Farzan Nadim,,,,,,,,,,,,,
2014,Decision-Making Tasks.,Angela J. Yu,,,,,,,,,,,,,,
2014,"Protein Kinase A, Models of.",Kim T. Blackwell,Joanna Jedrzejewska-Szmek,,,,,,,,,,,,,
2014,Computation with Dopaminergic Modulation.,Samuel J. Gershman,,,,,,,,,,,,,,
2014,"Imaging Analysis, Bayesian.",William D. Penny,,,,,,,,,,,,,,
2014,"Hippocampus, Model Inhibitory Cells.",Frances K. Skinner,Katie A. Ferguson,,,,,,,,,,,,,
2014,Delayed Rectifier and A-Type Potassium Channels.,Paul B. Manis,,,,,,,,,,,,,,
2014,Vestibular System: Overview.,Americo A. Migliaccio,,,,,,,,,,,,,,
2014,"Propagator, Axonal.",Viktor K. Jirsa,,,,,,,,,,,,,,
2014,Methodologies for the Treatment of Pain.,Scott Lempka,André Machado,,,,,,,,,,,,,
2014,Olfactory Computation in Glomerular Microcircuits.,Thomas A. Cleland,,,,,,,,,,,,,,
2014,"Calcium Dynamics in Neuronal Microdomains: Modeling, Stochastic Simulations, and Data Analysis.",Claire Guerrier,Eduard Korkotian,David Holcman,,,,,,,,,,,,
2014,Summary of Information Theoretic Quantities.,Robin A. A. Ince,Stefano Panzeri,Simon R. Schultz,,,,,,,,,,,,
2014,Choice Behavior.,Marijn van Wingerden,Tobias Kalenscher,,,,,,,,,,,,,
2014,Learning Rules: Overview.,Klaus Obermayer,,,,,,,,,,,,,,
2014,Neuromechanics of Joint Coordination.,Young-Hui Chang,,,,,,,,,,,,,,
2014,Spatiotemporal Energy Models.,Wyeth Bair,,,,,,,,,,,,,,
2014,Gillespie Algorithm for Biochemical Reaction Simulation.,Daniel T. Gillespie,,,,,,,,,,,,,,
2014,Decoding Field Potentials.,Yan Tat Wong,Bijan Pesaran,,,,,,,,,,,,,
2014,Diffusion Equation.,Fidel Santamaría,Toma M. Marinov,,,,,,,,,,,,,
2014,Meta-analysis in Neuroimaging.,Kimberly L. Ray,Angela R. Laird,,,,,,,,,,,,,
2014,Neuronal Model Optimization.,Astrid A. Prinz,,,,,,,,,,,,,,
2014,Micro-Wires.,Almut Branner,,,,,,,,,,,,,,
2014,Pathological Changes in Peripheral Nerve Excitability.,Steven A. Prescott,,,,,,,,,,,,,,
2014,"Peripheral Nerve Signal Processing, Multipole Cuff Methods.",Paul D. Yoo,,,,,,,,,,,,,,
2014,"Mammalian Motor Nerve Fibers, Models of.",Leonel E. Medina,Warren M. Grill 0001,,,,,,,,,,,,,
2014,Kinetic Models for PET/SPECT Imaging.,Miho Shidahara,Hiroshi Watabe,Iwao Kanno,,,,,,,,,,,,
2014,"Voltage-Sensitive Dye Imaging, Intrinsic Optical Signals.",Ian M. Devonshire,Ying Zheng,Jason Berwick,,,,,,,,,,,,
2014,Inward Rectifier Potassium Channels.,Yann Le Franc,,,,,,,,,,,,,,
2014,Vestibular Function After Cochlear Implantation.,Stephen J. O'Leary,,,,,,,,,,,,,,
2014,"Perception, Bayesian Models of.",Ulrik R. Beierholm,,,,,,,,,,,,,,
2014,Efficient Population Coding.,Matthias Bethge,,,,,,,,,,,,,,
2014,Correlation Analysis of Parallel Spike Trains.,Jos J. Eggermont,,,,,,,,,,,,,,
2014,"Neuromorphic Sensors, Head Direction.",Timothy K. Horiuchi,Tarek M. Massoud,,,,,,,,,,,,,
2014,"Hippocampus, Model Network Architecture.",Sarah Feldt Muldoon,,,,,,,,,,,,,,
2014,"Spike Timing-Dependent Plasticity (STDP), Biophysical Models.",Thom Griffith,Jack R. Mellor,Krasimira Tsaneva-Atanasova,,,,,,,,,,,,
2014,"Control of Breathing, Integration of Adaptive Reflexes.",Chung Tin,Chi-Sang Poon,,,,,,,,,,,,,
2014,Somatosensory Cortex: Neural Coding of Motion.,Yu-Cheng Pei,,,,,,,,,,,,,,
2014,Conductance-Based Models of Nonlinear Dynamics in Vertebrate Motoneurons.,Sharmila Venugopal,,,,,,,,,,,,,,
2014,Estimating Information-Theoretic Quantities.,Robin A. A. Ince,Simon R. Schultz,Stefano Panzeri,,,,,,,,,,,,
2014,"Visual Prosthesis, Optic Nerve Approaches.",Qiushi Ren,,,,,,,,,,,,,,
2014,Dynamic Diseases of the Brain.,Gerold Baier,John Milton,,,,,,,,,,,,,
2014,Spike-Triggered Average.,Junji Ito,,,,,,,,,,,,,,
2014,"Recurrent Network Models, Reservoir Computing.",Robert Legenstein,,,,,,,,,,,,,,
2014,"Vestibular, Rehabilitation.",Michael C. Schubert,,,,,,,,,,,,,,
2014,Spatial Spectral Analysis.,Armin Fuchs,,,,,,,,,,,,,,
2014,Cerebellum: Overview.,Fidel Santamaría,,,,,,,,,,,,,,
2014,Modeling the Emergence of Orientation Selectivity in the Cerebral Cortex.,Benjamin Scholl,Nicholas J. Priebe,,,,,,,,,,,,,
2014,Pattern Formation in Neural Population Models.,Axel Hutt,,,,,,,,,,,,,,
2014,"Prosthetic Vision, Perceptual Effects.",Gislin Dagnelie,H. Christiaan Stronks,,,,,,,,,,,,,
2014,Rhythm Perception: Pulse and Meter.,Edward W. Large,,,,,,,,,,,,,,
2014,Sound Localization and Experience-Dependent Plasticity.,Christian John Sumner,Robert Mill,,,,,,,,,,,,,
2014,FieldML.,Randall D. Britten,Peter J. Hunter,Poul M. F. Nielsen,Andrew K. Miller,Chris P. Bradley,G. Richard Christie,,,,,,,,,
2014,Lateral Geniculate Nucleus (LGN) Models.,Gaute T. Einevoll,Geir Halnes,,,,,,,,,,,,,
2014,Brain Extracellular Space: A Compartment for Intercellular Communication and Drug Delivery.,Sabina Hrabetova,Jan Hrabe,,,,,,,,,,,,,
2014,Peripheral Nerve Interface Applications: Respiratory Pacing.,Brian Hillen,Ranu Jung,,,,,,,,,,,,,
2014,"Peripheral Nerve Interface Applications, EMG/ENG.",Mohamed N. Abdelghani,James J. Abbas,Ranu Jung,,,,,,,,,,,,
2014,Pulse-Coupled Oscillators.,Carmen C. Canavier,,,,,,,,,,,,,,
2014,Computational Models of Modulation of Oscillatory Dynamics.,Pawel Andrzej Herman,,,,,,,,,,,,,,
2014,"Spinal Cord, Integrated (Non CPG) Models of.",Gerald E. Loeb,,,,,,,,,,,,,,
2014,Receptive Field Modeling.,Brian S. Blais,,,,,,,,,,,,,,
2014,Topographic Independent Component Analysis.,Aapo Hyvärinen,,,,,,,,,,,,,,
2014,Subthalamopallidal Loop and Oscillations.,David Terman,,,,,,,,,,,,,,
2014,Olfactory Computation in Antennal Lobe and Mushroom Bodies.,Maxim Bazhenov,Mark Stopfer,,,,,,,,,,,,,
2014,Multi-scale Modeling of Purkinje Cells.,Fidel Santamaría,Emmanuel A. Michaelides,,,,,,,,,,,,,
2014,Radiopharmaceuticals in Molecular Imaging.,Shankar Vallabhajosula,,,,,,,,,,,,,,
2014,Neurofitter.,Werner Van Geit,,,,,,,,,,,,,,
2014,"Hippocampus, Model Excitatory Cells.",Katie A. Ferguson,Frances K. Skinner,,,,,,,,,,,,,
2014,"Phase Response Curve, Measurement, and Shape of General.",Theoden I. Netoff,,,,,,,,,,,,,,
2014,Leech Local Bend: Neural Coding of Touch Location.,John E. Lewis,,,,,,,,,,,,,,
2014,Vestibular Adaptation and Compensation.,Thomas P. Wellings,Alan M. Brichta,Rebecca Lim,,,,,,,,,,,,
2014,"Cortical Maps, Intrinsic Processes.",Geoffrey J. Goodhill,,,,,,,,,,,,,,
2014,Brain-Scale Networks: Overview.,Tay Netoff,,,,,,,,,,,,,,
2014,Brain-Machine Interface: Overview.,Karim G. Oweiss,,,,,,,,,,,,,,
2014,Basal Ganglia: Decision-Making.,Wei Wei,Xiao-Jing Wang,,,,,,,,,,,,,
2014,Biochemical Signaling Pathways and Diffusion: Overview.,Kim T. Blackwell,,,,,,,,,,,,,,
2014,Dendritic Computation.,Panayiota Poirazi,,,,,,,,,,,,,,
2014,Basal Ganglia: Mechanisms for Action Selection.,Mark D. Humphries,,,,,,,,,,,,,,
2014,Low-Frequency Oscillations (Anesthesia and Sleep): Overview.,Diego Contreras,,,,,,,,,,,,,,
2014,"Biophysical Models: Neurovascular Coupling, Cortical Microcircuits, and Metabolism.",Jorge J. Riera,,,,,,,,,,,,,,
2014,Low-Voltage-Activated Calcium Channels.,Jordan D. T. Engbers,,,,,,,,,,,,,,
2014,"Peripheral Nerve Interface, Intraneural Electrode.",Mitch Frankel,,,,,,,,,,,,,,
2014,Simulation Experiment Description Markup Language (SED-ML).,Dagmar Waltemath,Nicolas Le Novère,,,,,,,,,,,,,
2014,Computational Models of Neuromodulation.,Angela J. Yu,,,,,,,,,,,,,,
2014,"Cochlear Inner Hair Cell, Model.",Enrique A. Lopez-Poveda,,,,,,,,,,,,,,
2014,"Adaptation in Sensory Cortices, Models of.",Klaus Wimmer 0004,,,,,,,,,,,,,,
2014,Connectionist Models of CPG Networks.,Sharmila Venugopal,,,,,,,,,,,,,,
2014,Basal Ganglia: Control of Saccades.,Benoît Girard 0001,,,,,,,,,,,,,,
2014,NineML.,Andrew Davison,,,,,,,,,,,,,,
2014,Peripheral Vestibular Signal Processing.,Americo A. Migliaccio,,,,,,,,,,,,,,
2014,Parametric Spectral Analysis.,Mingzhou Ding,Govindan Rangarajan,,,,,,,,,,,,,
2014,Finite Element Modeling for Extracellular Stimulation.,Frank Rattay,Simon M. Danner,Ursula S. Hofstoetter,Karen Minassian,,,,,,,,,,,
2014,Associations and Rewards in Auditory Cortex.,Michael Brosch,,,,,,,,,,,,,,
2014,Coupled Oscillations in Neural Control of Breathing.,Yaroslav I. Molkov,,,,,,,,,,,,,,
2014,"Tinnitus, Models.",Roland Schaette,,,,,,,,,,,,,,
2014,Auditory Prosthesis.,Johan H. M. Frijns,Jeroen J. Briaire,,,,,,,,,,,,,
2014,"Metabotropic Receptors Dynamics, Conductance Models.",William Gibson,,,,,,,,,,,,,,
2014,Basal Ganglia System as an Engine for Exploration.,V. Srinivasa Chakravarthy,Pragathi Priyadharsini Balasubramani,,,,,,,,,,,,,
2014,Modeling the Axon.,Bruce Graham,,,,,,,,,,,,,,
2014,"Visual Prosthesis, Optogenetic Approaches.",Patrick Degenaar,John Barrett,,,,,,,,,,,,,
2014,Cell Centered Database.,Maryann E. Martone,,,,,,,,,,,,,,
2014,"Tripartite Synapse (Neuron-Astrocyte Interactions), Conductance Models.",Theodore W. Berger,,,,,,,,,,,,,,
2014,Peripheral Nerve Interfaces: Overview.,Douglas J. Weber,Brian Wodlinger,Wei Wang 0086,,,,,,,,,,,,
2014,"Extracellular Potentials, Forward Modeling of.",Gaute T. Einevoll,,,,,,,,,,,,,,
2014,Spike Train Distance.,Jonathan D. Victor,,,,,,,,,,,,,,
2014,Information Theory: Overview.,Alexander Dimitrov 0001,,,,,,,,,,,,,,
2014,"Local Field Potential, Relationship to Membrane Synaptic Potentials.",Aryeh H. Taub,Ilan Lampl,Michael Okun,,,,,,,,,,,,
2014,"Retinotopic Development, Models of.",Stephen J. Eglen,,,,,,,,,,,,,,
2014,Rhythm Generation in Young Xenopus Tadpoles.,Alan Roberts,,,,,,,,,,,,,,
2014,Reduced Morphology Models.,Addolorata Marasco,Michele Migliore,,,,,,,,,,,,,
2014,Basal Ganglia: Overview.,Jonathan Rubin,,,,,,,,,,,,,,
2014,"Local Field Potential, Relationship to Electroencephalography (EEG) and Magnetoencephalography (MEG).",Stephanie R. Jones,,,,,,,,,,,,,,
2014,"Embodied Cognition, Dynamic Field Theory of.",Gregor Schöner,,,,,,,,,,,,,,
2014,Neuronal Model Output Fitness Function.,William E. White,Scott L. Hooper,,,,,,,,,,,,,
2014,Dynamic Causal Modeling with Neural Population Models.,Rosalyn J. Moran,,,,,,,,,,,,,,
2014,Inverse Problems in Neural Population Models.,Roland Potthast,,,,,,,,,,,,,,
2014,Parkinson's Disease: Deep Brain Stimulation.,Anne Beuter,,,,,,,,,,,,,,
2014,Cardiac Excitable Tissue Pathology (Ion Channels).,Jonathan D. Moreno,Colleen E. Clancy,,,,,,,,,,,,,
2014,"Imaging, Specimen Preparation.",Louise C. Abbott,,,,,,,,,,,,,,
2014,Comparative Analysis of Half-Center Central Pattern Generators (CPGs).,Jonathan Rubin,,,,,,,,,,,,,,
2014,"Local Field Potential, Relationship to BOLD Signal.",Nikos K. Logothetis,Stefano Panzeri,,,,,,,,,,,,,
2014,Physiology and Computational Principles of Muscle Force Generation.,George A. Tsianos,Gerald E. Loeb,,,,,,,,,,,,,
2014,"Vestibular Otoliths, Response to Vibration and Sound.",Ian S. Curthoys,,,,,,,,,,,,,,
2014,Perceptual Decision Making.,Christopher K. Hauser,Emilio Salinas,,,,,,,,,,,,,
2014,Gap Junctions in Small Networks.,Thomas Nowotny,Paul R. Benjamin,,,,,,,,,,,,,
2014,"Center-Surround Processing, Computational Role of.",Udo Ernst,,,,,,,,,,,,,,
2014,Bifurcation Analysis.,William H. Barnett,Gennady S. Cymbalyuk,,,,,,,,,,,,,
2014,Somatosensory Cortex: Organization.,Gregg Tabot,,,,,,,,,,,,,,
2014,Time-Delayed Neural Networks: Stability and Oscillations.,Jianhong Wu,Sue Ann Campbell,Jacques Bélair,,,,,,,,,,,,
2014,"Center-Surround Processing, Network Models of.",Lars Schwabe,,,,,,,,,,,,,,
2014,Computational Models of Mammalian Respiratory CPG.,Jeffrey C. Smith,,,,,,,,,,,,,,
2014,Neuronal Parameter Space Exploration.,Wafa Soofi,,,,,,,,,,,,,,
2014,Auditory Event-related Potentials.,István Winkler,Susan L. Denham,Carles Escera,,,,,,,,,,,,
2014,Finite Element Models of Transcutaneous Spinal Cord Stimulation.,Simon M. Danner,Ursula S. Hofstoetter,Karen Minassian,,,,,,,,,,,,
2014,"MOOSE, the Multiscale Object-Oriented Simulation Environment.",Niraj Dudani,Upinder S. Bhalla,Subhasis Ray,,,,,,,,,,,,
2014,Brain Atlases.,Yoonsuck Choe,,,,,,,,,,,,,,
2014,Stochastic Simulators.,Wonryull Koh,Kim T. Blackwell,,,,,,,,,,,,,
2014,Multi-objective Evolutionary Algorithms.,Tomasz G. Smolinski,,,,,,,,,,,,,,
2014,Quasi-active Approximation of Nonlinear Dendritic Cables.,Michiel W. H. Remme,,,,,,,,,,,,,,
2014,Stochastic Resonance: Balance Control and Cochlear Implants.,Sonya Bahar,,,,,,,,,,,,,,
2014,Hyperpolarization-Activated Cyclic Nucleotide-Gated Channels.,Matthew F. Nolan,,,,,,,,,,,,,,
2014,"Gamma-Aminobutyric Acid Type-A (GABA-A) Receptors, Kinetic Models.",Mathew Jones,,,,,,,,,,,,,,
2014,Bradykinesia Models.,Vassilis Cutsuridis,,,,,,,,,,,,,,
