year,title,author1,citation
2014,Multiscale Brain Connectivity.,Tristan T. Nakagawa,2014Multiscale Brain Connectivity.Tristan T. Nakagawa
2014,Epilepsy: Abnormal Ion Channels.,Tara Klassen,2014Epilepsy: Abnormal Ion Channels.Tara Klassen
2014,Computation with Serotonergic Modulation.,Matthew Lewis,2014Computation with Serotonergic Modulation.Matthew Lewis
2014,High-Voltage-Activated Calcium Channels.,Sergio M. G. Solinas,2014High-Voltage-Activated Calcium Channels.Sergio M. G. Solinas
2014,"Neuropharmacological Modeling, Pharmacogenomics and Ion Channel Modulation.",Tara Klassen,"2014Neuropharmacological Modeling, Pharmacogenomics and Ion Channel Modulation.Tara Klassen"
2014,Computational Models of Deep Brain Stimulation (DBS).,Jonathan Rubin,2014Computational Models of Deep Brain Stimulation (DBS).Jonathan Rubin
2014,"Sleep, Neural Population Models of.",Andrew J. K. Phillips,"2014Sleep, Neural Population Models of.Andrew J. K. Phillips"
2014,Visual Motion Detection in Drosophila.,Alexander Borst,2014Visual Motion Detection in Drosophila.Alexander Borst
2014,General Overview of Spinal Anatomy and Physiology Organization.,Marion Murray,2014General Overview of Spinal Anatomy and Physiology Organization.Marion Murray
2014,Optic Flow Processing.,Holger G. Krapp,2014Optic Flow Processing.Holger G. Krapp
2014,"Epilepsy, Neural Population Models of.",Fabrice Wendling,"2014Epilepsy, Neural Population Models of.Fabrice Wendling"
2014,Neural Decoding.,Islam S. Badreldin,2014Neural Decoding.Islam S. Badreldin
2014,"Visual Prosthesis, Suprachoroidal, and Trans-retinal Devices.",Gregg J. Suaning,"2014Visual Prosthesis, Suprachoroidal, and Trans-retinal Devices.Gregg J. Suaning"
2014,Finite Element Modeling of Electrical Stimulation Using Microelectrodes.,Sébastien Joucla,2014Finite Element Modeling of Electrical Stimulation Using Microelectrodes.Sébastien Joucla
2014,"Retinal/Visual Interfaces (Models, Theory, Techniques): Overview.",Nigel H. Lovell,"2014Retinal/Visual Interfaces (Models, Theory, Techniques): Overview.Nigel H. Lovell"
2014,Somatosensory Prosthesis.,Sliman J. Bensmaia,2014Somatosensory Prosthesis.Sliman J. Bensmaia
2014,Spike Train Analysis: Overview.,Sonja Grün,2014Spike Train Analysis: Overview.Sonja Grün
2014,"Calcium Release, Models of.",Geneviève Dupont,"2014Calcium Release, Models of.Geneviève Dupont"
2014,"Local Field Potential, Relationship to Unit Activity.",Bartosz Telenczuk,"2014Local Field Potential, Relationship to Unit Activity.Bartosz Telenczuk"
2014,Current Source Density (CSD) Analysis.,Daniel K. Wójcik,2014Current Source Density (CSD) Analysis.Daniel K. Wójcik
2014,Surrogate Data for Evaluation of Spike Correlation.,Sonja Grün,2014Surrogate Data for Evaluation of Spike Correlation.Sonja Grün
2014,Dynamical Systems: Overview.,Alla Borisyuk,2014Dynamical Systems: Overview.Alla Borisyuk
2014,Multistability: Stopping Events with Single Pulses.,Ivan Osorio,2014Multistability: Stopping Events with Single Pulses.Ivan Osorio
2014,Neuronal Population Vector.,Margaret Y. Mahan,2014Neuronal Population Vector.Margaret Y. Mahan
2014,Modeling of Enzyme Kinetics.,Kim T. Blackwell,2014Modeling of Enzyme Kinetics.Kim T. Blackwell
2014,Reinforcement Learning in Cortical Networks.,Walter Senn,2014Reinforcement Learning in Cortical Networks.Walter Senn
2014,Intraspinal Stimulation.,Michel Lemay,2014Intraspinal Stimulation.Michel Lemay
2014,Peripheral Nerve Interface Applications: Neuropathic Pain.,Narendra Bhadra,2014Peripheral Nerve Interface Applications: Neuropathic Pain.Narendra Bhadra
2014,Bifurcations Dynamics of Single Neurons and Small Networks.,Amitabha Bose,2014Bifurcations Dynamics of Single Neurons and Small Networks.Amitabha Bose
2014,Bayesian Inference with Spiking Neurons.,Sophie Denève,2014Bayesian Inference with Spiking Neurons.Sophie Denève
2014,Forward and Inverse Problems of MEG/EEG.,Sylvain Baillet,2014Forward and Inverse Problems of MEG/EEG.Sylvain Baillet
2014,"Sensory Coding, Efficiency.",Franz Weber,"2014Sensory Coding, Efficiency.Franz Weber"
2014,Sensory Input to Central Pattern Generators.,Wolfgang Stein,2014Sensory Input to Central Pattern Generators.Wolfgang Stein
2014,"Behavioural Analysis, Bayesian.",Samuel J. Gershman,"2014Behavioural Analysis, Bayesian.Samuel J. Gershman"
2014,Endocrine Cell Function and Dysfunction.,Richard Bertram,2014Endocrine Cell Function and Dysfunction.Richard Bertram
2014,"Peripheral Nerve Interface Applications, Obesity.",Mitchell Roslin,"2014Peripheral Nerve Interface Applications, Obesity.Mitchell Roslin"
2014,Directed Spectral Methods.,Adam B. Barrett,2014Directed Spectral Methods.Adam B. Barrett
2014,Masking and Masking Release.,Andrew J. Oxenham,2014Masking and Masking Release.Andrew J. Oxenham
2014,Dynamics of Disease States: Overview.,John Milton,2014Dynamics of Disease States: Overview.John Milton
2014,"Decision Making, Threshold.",Paul Miller 0001,"2014Decision Making, Threshold.Paul Miller 0001"
2014,neuroConstruct.,Padraig Gleeson,2014neuroConstruct.Padraig Gleeson
2014,Biomechanical Model of Low Back Pain.,Beth Winkelstein,2014Biomechanical Model of Low Back Pain.Beth Winkelstein
2014,Deep Cerebellar Nuclei.,Dana Cohen 0001,2014Deep Cerebellar Nuclei.Dana Cohen 0001
2014,"Deep Brain Stimulation (Models, Theory, Techniques): Overview.",Peter Alexander Tass,"2014Deep Brain Stimulation (Models, Theory, Techniques): Overview.Peter Alexander Tass"
2014,Spectro-Temporal Receptive Fields.,Shihab Shamma,2014Spectro-Temporal Receptive Fields.Shihab Shamma
2014,Tempotron Learning.,Robert Gütig,2014Tempotron Learning.Robert Gütig
2014,Insect Olfaction: A Model System for Neural Circuit Modeling.,Nitin Gupta 0002,2014Insect Olfaction: A Model System for Neural Circuit Modeling.Nitin Gupta 0002
2014,Peripheral Nerve Stimulation Technique: Nerve Block.,D. Michael Ackermann Jr.,2014Peripheral Nerve Stimulation Technique: Nerve Block.D. Michael Ackermann Jr.
2014,Markov Models of Ion Channels.,Daniele Linaro,2014Markov Models of Ion Channels.Daniele Linaro
2014,Invertebrate Sensory Systems: Overview.,Fabrizio Gabbiani,2014Invertebrate Sensory Systems: Overview.Fabrizio Gabbiani
2014,Retinal Disease and Remodeling.,Robert E. Marc,2014Retinal Disease and Remodeling.Robert E. Marc
2014,"Gap Junctions, Neural Population Models and.",Moira L. Steyn-Ross,"2014Gap Junctions, Neural Population Models and.Moira L. Steyn-Ross"
2014,"Long-Term Plasticity, Biophysical Models.",Claudia Clopath,"2014Long-Term Plasticity, Biophysical Models.Claudia Clopath"
2014,Vision Prosthesis.,James D. Weiland,2014Vision Prosthesis.James D. Weiland
2014,Proprioception.,Gregg Tabot,2014Proprioception.Gregg Tabot
2014,Hybrid Parameter Optimization Methods.,Werner Van Geit,2014Hybrid Parameter Optimization Methods.Werner Van Geit
2014,Spike-Frequency Adaptation.,Jan Benda,2014Spike-Frequency Adaptation.Jan Benda
2014,Independent Component Analysis of Images.,Aapo Hyvärinen,2014Independent Component Analysis of Images.Aapo Hyvärinen
2014,Neuronal Parameter Sensitivity.,A. V. Olifer,2014Neuronal Parameter Sensitivity.A. V. Olifer
2014,Collations of Connectivity Data on the Macaque Brain (CoCoMac).,Rembrandt Bakker,2014Collations of Connectivity Data on the Macaque Brain (CoCoMac).Rembrandt Bakker
2014,Subthalamic Nucleus Cellular Models.,Charles J. Wilson,2014Subthalamic Nucleus Cellular Models.Charles J. Wilson
2014,"Theta, Gamma, and Cross-Frequency Coupling in the Hippocampus.",Jesse Jackson,"2014Theta, Gamma, and Cross-Frequency Coupling in the Hippocampus.Jesse Jackson"
2014,Peripheral Nerve Models.,Matthew A. Schiefer,2014Peripheral Nerve Models.Matthew A. Schiefer
2014,Modeling Cerebellar Learning: Input Minimization.,Thomas J. Anastasio,2014Modeling Cerebellar Learning: Input Minimization.Thomas J. Anastasio
2014,"Neural Field Model, Continuum.",Axel Hutt,"2014Neural Field Model, Continuum.Axel Hutt"
2014,"Neuromorphic Sensors, Cochlea.",Shih-Chii Liu,"2014Neuromorphic Sensors, Cochlea.Shih-Chii Liu"
2014,Olfactory Computation in Mitral-Granule Cell Circuits.,Michele Migliore,2014Olfactory Computation in Mitral-Granule Cell Circuits.Michele Migliore
2014,Biophysical Models of Olfactory Mitral and Granule Cells.,Guo-Shi Li,2014Biophysical Models of Olfactory Mitral and Granule Cells.Guo-Shi Li
2014,Somatosensory System: Overview.,Sliman Bensmaia,2014Somatosensory System: Overview.Sliman Bensmaia
2014,"Transfer Function, Electrocortical.",Behnam Molaee-Ardekani,"2014Transfer Function, Electrocortical.Behnam Molaee-Ardekani"
2014,Neuronal Parameter Co-regulation.,David J. Schulz,2014Neuronal Parameter Co-regulation.David J. Schulz
2014,Migraines and Cortical Spreading Depression.,Markus A. Dahlem,2014Migraines and Cortical Spreading Depression.Markus A. Dahlem
2014,Basal Ganglia: Habit Formation.,Barbara J. Knowlton,2014Basal Ganglia: Habit Formation.Barbara J. Knowlton
2014,Neuronal Parameter Non-uniqueness.,Jean-Marc Goaillard,2014Neuronal Parameter Non-uniqueness.Jean-Marc Goaillard
2014,Applications of Information Theory to Analysis of Neural Data.,Simon R. Schultz,2014Applications of Information Theory to Analysis of Neural Data.Simon R. Schultz
2014,Physical Sectioning Microscopy.,Yoonsuck Choe,2014Physical Sectioning Microscopy.Yoonsuck Choe
2014,Auditory Thalamocortical Transformations.,Kazuo Imaizumi,2014Auditory Thalamocortical Transformations.Kazuo Imaizumi
2014,NeuroMorpho.org.,Ruchi Parekh,2014NeuroMorpho.org.Ruchi Parekh
2014,Auditory Memory.,Dawai Li,2014Auditory Memory.Dawai Li
2014,Spiking Network Models and Theory: Overview.,Marc-Oliver Gewaltig,2014Spiking Network Models and Theory: Overview.Marc-Oliver Gewaltig
2014,Boltzmann Machine.,Joaquín J. Torres,2014Boltzmann Machine.Joaquín J. Torres
2014,NeuroElectro Project.,Shreejoy J. Tripathy,2014NeuroElectro Project.Shreejoy J. Tripathy
2014,Stochastic Neural Field Theory.,Paul C. Bressloff,2014Stochastic Neural Field Theory.Paul C. Bressloff
2014,Dendritic Spines.,William R. Holmes,2014Dendritic Spines.William R. Holmes
2014,"Short Term Plasticity, Biophysical Models.",Robert Rosenbaum,"2014Short Term Plasticity, Biophysical Models.Robert Rosenbaum"
2014,Spike Time Response Curve.,Theoden I. Netoff,2014Spike Time Response Curve.Theoden I. Netoff
2014,"Peripheral Nerve Signal Processing, Denoising.",Ken Yoshida,"2014Peripheral Nerve Signal Processing, Denoising.Ken Yoshida"
2014,"Neuroimaging, Neural Population Models for.",Ingo Bojak,"2014Neuroimaging, Neural Population Models for.Ingo Bojak"
2014,Cortical Motor Prosthesis.,Karthikeyan Balasubramanian,2014Cortical Motor Prosthesis.Karthikeyan Balasubramanian
2014,BrainMap.,Michael C. Riedel,2014BrainMap.Michael C. Riedel
2014,"Auditory Nerve Response, Afferent Signals.",Peter Heil,"2014Auditory Nerve Response, Afferent Signals.Peter Heil"
2014,Application of Declarative Programming in Neurobiology.,Thomas J. Anastasio,2014Application of Declarative Programming in Neurobiology.Thomas J. Anastasio
2014,Resistivity/Conductivity of Extracellular Medium.,Scott Lempka,2014Resistivity/Conductivity of Extracellular Medium.Scott Lempka
2014,"Phase Resetting, Measurement of Infinitessimal.",Klaus M. Stiefel,"2014Phase Resetting, Measurement of Infinitessimal.Klaus M. Stiefel"
2014,Equivalent Cylinder Model (Rall).,William R. Holmes,2014Equivalent Cylinder Model (Rall).William R. Holmes
2014,"Peripheral Nerve Interface Applications, Sleep Apnea.",Dominique M. Durand,"2014Peripheral Nerve Interface Applications, Sleep Apnea.Dominique M. Durand"
2014,Wavelet Analysis.,Hualou Liang,2014Wavelet Analysis.Hualou Liang
2014,NEURON Simulation Environment.,Michael L. Hines,2014NEURON Simulation Environment.Michael L. Hines
2014,Auditory Precedence Effect.,Barbara G. Shinn-Cunningham,2014Auditory Precedence Effect.Barbara G. Shinn-Cunningham
2014,Computational Neuroanatomy: Overview.,Yoonsuck Choe,2014Computational Neuroanatomy: Overview.Yoonsuck Choe
2014,"Calcium-Dependent Exocytosis, Biophysical Models of.",Victor Matveev,"2014Calcium-Dependent Exocytosis, Biophysical Models of.Victor Matveev"
2014,"Neuromorphic Hardware, Large Scale.",Johannes Schemmel,"2014Neuromorphic Hardware, Large Scale.Johannes Schemmel"
2014,Computational Models of Motor Pools.,Charles J. Heckman,2014Computational Models of Motor Pools.Charles J. Heckman
2014,Cable Theory: Overview.,William R. Holmes,2014Cable Theory: Overview.William R. Holmes
2014,Retinal Prostheses for Restoration of Sight.,Daniel V. Palanker,2014Retinal Prostheses for Restoration of Sight.Daniel V. Palanker
2014,Synthetic Neuronal Circuits/Networks.,Padraig Gleeson,2014Synthetic Neuronal Circuits/Networks.Padraig Gleeson
2014,Electrocorticogram (ECoG).,Biyu J. He,2014Electrocorticogram (ECoG).Biyu J. He
2014,Chloride Channels.,Steven A. Prescott,2014Chloride Channels.Steven A. Prescott
2014,State-Space Models for the Analysis of Neural Spike Train and Behavioral Data.,Zhe Chen 0001,2014State-Space Models for the Analysis of Neural Spike Train and Behavioral Data.Zhe Chen 0001
2014,Modeling Synapses.,Jason S. Rothman,2014Modeling Synapses.Jason S. Rothman
2014,NEST: The Neural Simulation Tool.,Hans Ekkehard Plesser,2014NEST: The Neural Simulation Tool.Hans Ekkehard Plesser
2014,"Decision Making, Models.",Paul Miller 0001,"2014Decision Making, Models.Paul Miller 0001"
2014,Drosophila Connectome.,Arjun Bharioke,2014Drosophila Connectome.Arjun Bharioke
2014,Directed Information Flow and Causality in Neural Systems.,Michael C. Gastpar,2014Directed Information Flow and Causality in Neural Systems.Michael C. Gastpar
2014,Physiology and Function of Cochlear Efferents.,John J. Guinan,2014Physiology and Function of Cochlear Efferents.John J. Guinan
2014,Somatosensory Neurons: Spike Timing.,Hannes P. Saal,2014Somatosensory Neurons: Spike Timing.Hannes P. Saal
2014,Sodium Channels.,Dominique Engel,2014Sodium Channels.Dominique Engel
2014,Brain Architecture Management System (BAMS).,Mihail Bota,2014Brain Architecture Management System (BAMS).Mihail Bota
2014,Short-Term Synaptic Plasticity in Central Pattern Generators.,Diana Martinez,2014Short-Term Synaptic Plasticity in Central Pattern Generators.Diana Martinez
2014,Spectral Interdependency Methods.,Mukesh Dhamala,2014Spectral Interdependency Methods.Mukesh Dhamala
2014,Population Density Models.,Nicolas Brunel,2014Population Density Models.Nicolas Brunel
2014,Morphologically Detailed Motoneuron Models.,Sherif M. Elbasiouny,2014Morphologically Detailed Motoneuron Models.Sherif M. Elbasiouny
2014,Computational Models Supporting Parameter Finding for Deep Brain Stimulation.,Nada Yousif,2014Computational Models Supporting Parameter Finding for Deep Brain Stimulation.Nada Yousif
2014,"Facilitation, Biophysical Models.",Victor Matveev,"2014Facilitation, Biophysical Models.Victor Matveev"
2014,"Wiring Principles, Optimization.",Marcus Kaiser,"2014Wiring Principles, Optimization.Marcus Kaiser"
2014,"Phase Transitions, Neural Population Models and.",D. Alistair Steyn-Ross,"2014Phase Transitions, Neural Population Models and.D. Alistair Steyn-Ross"
2014,Dopaminergic Cell Models.,Alexey Kuznetsov 0002,2014Dopaminergic Cell Models.Alexey Kuznetsov 0002
2014,Spectral Methods in Neural Data Analysis: Overview.,Steven L. Bressler,2014Spectral Methods in Neural Data Analysis: Overview.Steven L. Bressler
2014,Spike Train.,Robert E. Kass,2014Spike Train.Robert E. Kass
2014,"Transcriptional Control Dysfunction, Modeling.",Gillian Queisser,"2014Transcriptional Control Dysfunction, Modeling.Gillian Queisser"
2014,Dendritic Spines: Continuum Theory.,Steven M. Baer,2014Dendritic Spines: Continuum Theory.Steven M. Baer
2014,"Connectome, Mouse.",Yoonsuck Choe,"2014Connectome, Mouse.Yoonsuck Choe"
2014,Spinal Interfaces: Overview.,Michel Lemay,2014Spinal Interfaces: Overview.Michel Lemay
2014,Phototransduction Biophysics.,Mikko Juusola,2014Phototransduction Biophysics.Mikko Juusola
2014,Olivocerebellar Pathway.,Martin Garwicz,2014Olivocerebellar Pathway.Martin Garwicz
2014,Time-Frequency Analysis.,Joerg F. Hipp,2014Time-Frequency Analysis.Joerg F. Hipp
2014,"Local Field Potential, Methods of Recording.",Andrew Sharott,"2014Local Field Potential, Methods of Recording.Andrew Sharott"
2014,"Connectome, General.",Yoonsuck Choe,"2014Connectome, General.Yoonsuck Choe"
2014,Multistability in Neurodynamics: Overview.,Gennady S. Cymbalyuk,2014Multistability in Neurodynamics: Overview.Gennady S. Cymbalyuk
2014,Pre-Botzinger Complex Rhythm Generation.,Natalia Toporikova,2014Pre-Botzinger Complex Rhythm Generation.Natalia Toporikova
2014,Patch Clamp Technique.,Thomas Nowotny,2014Patch Clamp Technique.Thomas Nowotny
2014,Computational Models to Optimize the Electrodes and Waveforms for Deep Brain Stimulation.,Bryan Howell,2014Computational Models to Optimize the Electrodes and Waveforms for Deep Brain Stimulation.Bryan Howell
2014,Neuronal Model Databases.,Cengiz Günay,2014Neuronal Model Databases.Cengiz Günay
2014,"Cortical Function, Normative Models of.",Jochen Triesch,"2014Cortical Function, Normative Models of.Jochen Triesch"
2014,Particle-Based Stochastic Simulators.,Kim T. Blackwell,2014Particle-Based Stochastic Simulators.Kim T. Blackwell
2014,Information Geometry as Applied to Neural Spike Data.,Shun-ichi Amari,2014Information Geometry as Applied to Neural Spike Data.Shun-ichi Amari
2014,Epidural Stimulation.,Yury P. Gerasimenko,2014Epidural Stimulation.Yury P. Gerasimenko
2014,Dynamic Clamp Technique.,Thomas Nowotny,2014Dynamic Clamp Technique.Thomas Nowotny
2014,"Spontaneous Activity, Models of.",Joana Cabral,"2014Spontaneous Activity, Models of.Joana Cabral"
2014,"Local Field Potential, Ephaptic Interactions.",Costas A. Anastassiou,"2014Local Field Potential, Ephaptic Interactions.Costas A. Anastassiou"
2014,Calcium-Dependent Potassium Channels.,Guillaume Drion,2014Calcium-Dependent Potassium Channels.Guillaume Drion
2014,"Resistivity, Axial.",John Bekkers,"2014Resistivity, Axial.John Bekkers"
2014,"Working Memory, Models of.",Gianluigi Mongillo,"2014Working Memory, Models of.Gianluigi Mongillo"
2014,Models of Extracellular Signal-Regulated Kinases.,Susana R. Neves,2014Models of Extracellular Signal-Regulated Kinases.Susana R. Neves
2014,Neural Population Models and Cortical Field Theory: Overview.,Ingo Bojak,2014Neural Population Models and Cortical Field Theory: Overview.Ingo Bojak
2014,Cx3D: Cortex Simulation in 3D.,Andreas Hauri,2014Cx3D: Cortex Simulation in 3D.Andreas Hauri
2014,Action Potential Initiation.,Dejan Zecevic,2014Action Potential Initiation.Dejan Zecevic
2014,Estimation of Neuronal Firing Rate.,Shigeru Shinomoto,2014Estimation of Neuronal Firing Rate.Shigeru Shinomoto
2014,"Phase Models, Noisy.",G. Bard Ermentrout,"2014Phase Models, Noisy.G. Bard Ermentrout"
2014,"Decision Making, Bias.",Marijn van Wingerden,"2014Decision Making, Bias.Marijn van Wingerden"
2014,Baroreflex Models.,Yaroslav I. Molkov,2014Baroreflex Models.Yaroslav I. Molkov
2014,"Calmodulin, Models of.",M. Neal Waxham,"2014Calmodulin, Models of.M. Neal Waxham"
2014,Weak Coupling Theory.,Timothy J. Lewis,2014Weak Coupling Theory.Timothy J. Lewis
2014,Neuropharmacological Modelling: Alterations in Ionic Homeostasis.,Nicolas Doyon,2014Neuropharmacological Modelling: Alterations in Ionic Homeostasis.Nicolas Doyon
2014,"Neuromuscular Control Systems, Models of.",James J. Abbas,"2014Neuromuscular Control Systems, Models of.James J. Abbas"
2014,"Striatal Models, Cellular Detail.",Kim T. Blackwell,"2014Striatal Models, Cellular Detail.Kim T. Blackwell"
2014,"Capacitance, Membrane.",Jorge Golowasch,"2014Capacitance, Membrane.Jorge Golowasch"
2014,Decision-Making Tasks.,Angela J. Yu,2014Decision-Making Tasks.Angela J. Yu
2014,"Protein Kinase A, Models of.",Kim T. Blackwell,"2014Protein Kinase A, Models of.Kim T. Blackwell"
2014,Computation with Dopaminergic Modulation.,Samuel J. Gershman,2014Computation with Dopaminergic Modulation.Samuel J. Gershman
2014,"Imaging Analysis, Bayesian.",William D. Penny,"2014Imaging Analysis, Bayesian.William D. Penny"
2014,"Hippocampus, Model Inhibitory Cells.",Frances K. Skinner,"2014Hippocampus, Model Inhibitory Cells.Frances K. Skinner"
2014,Delayed Rectifier and A-Type Potassium Channels.,Paul B. Manis,2014Delayed Rectifier and A-Type Potassium Channels.Paul B. Manis
2014,Vestibular System: Overview.,Americo A. Migliaccio,2014Vestibular System: Overview.Americo A. Migliaccio
2014,"Propagator, Axonal.",Viktor K. Jirsa,"2014Propagator, Axonal.Viktor K. Jirsa"
2014,Methodologies for the Treatment of Pain.,Scott Lempka,2014Methodologies for the Treatment of Pain.Scott Lempka
2014,Olfactory Computation in Glomerular Microcircuits.,Thomas A. Cleland,2014Olfactory Computation in Glomerular Microcircuits.Thomas A. Cleland
2014,"Calcium Dynamics in Neuronal Microdomains: Modeling, Stochastic Simulations, and Data Analysis.",Claire Guerrier,"2014Calcium Dynamics in Neuronal Microdomains: Modeling, Stochastic Simulations, and Data Analysis.Claire Guerrier"
2014,Summary of Information Theoretic Quantities.,Robin A. A. Ince,2014Summary of Information Theoretic Quantities.Robin A. A. Ince
2014,Choice Behavior.,Marijn van Wingerden,2014Choice Behavior.Marijn van Wingerden
2014,Learning Rules: Overview.,Klaus Obermayer,2014Learning Rules: Overview.Klaus Obermayer
2014,Neuromechanics of Joint Coordination.,Young-Hui Chang,2014Neuromechanics of Joint Coordination.Young-Hui Chang
2014,Spatiotemporal Energy Models.,Wyeth Bair,2014Spatiotemporal Energy Models.Wyeth Bair
2014,Gillespie Algorithm for Biochemical Reaction Simulation.,Daniel T. Gillespie,2014Gillespie Algorithm for Biochemical Reaction Simulation.Daniel T. Gillespie
2014,Decoding Field Potentials.,Yan Tat Wong,2014Decoding Field Potentials.Yan Tat Wong
2014,Diffusion Equation.,Fidel Santamaría,2014Diffusion Equation.Fidel Santamaría
2014,Meta-analysis in Neuroimaging.,Kimberly L. Ray,2014Meta-analysis in Neuroimaging.Kimberly L. Ray
2014,Neuronal Model Optimization.,Astrid A. Prinz,2014Neuronal Model Optimization.Astrid A. Prinz
2014,Micro-Wires.,Almut Branner,2014Micro-Wires.Almut Branner
2014,Pathological Changes in Peripheral Nerve Excitability.,Steven A. Prescott,2014Pathological Changes in Peripheral Nerve Excitability.Steven A. Prescott
2014,"Peripheral Nerve Signal Processing, Multipole Cuff Methods.",Paul D. Yoo,"2014Peripheral Nerve Signal Processing, Multipole Cuff Methods.Paul D. Yoo"
2014,"Mammalian Motor Nerve Fibers, Models of.",Leonel E. Medina,"2014Mammalian Motor Nerve Fibers, Models of.Leonel E. Medina"
2014,Kinetic Models for PET/SPECT Imaging.,Miho Shidahara,2014Kinetic Models for PET/SPECT Imaging.Miho Shidahara
2014,"Voltage-Sensitive Dye Imaging, Intrinsic Optical Signals.",Ian M. Devonshire,"2014Voltage-Sensitive Dye Imaging, Intrinsic Optical Signals.Ian M. Devonshire"
2014,Inward Rectifier Potassium Channels.,Yann Le Franc,2014Inward Rectifier Potassium Channels.Yann Le Franc
2014,Vestibular Function After Cochlear Implantation.,Stephen J. O'Leary,2014Vestibular Function After Cochlear Implantation.Stephen J. O'Leary
2014,"Perception, Bayesian Models of.",Ulrik R. Beierholm,"2014Perception, Bayesian Models of.Ulrik R. Beierholm"
2014,Efficient Population Coding.,Matthias Bethge,2014Efficient Population Coding.Matthias Bethge
2014,Correlation Analysis of Parallel Spike Trains.,Jos J. Eggermont,2014Correlation Analysis of Parallel Spike Trains.Jos J. Eggermont
2014,"Neuromorphic Sensors, Head Direction.",Timothy K. Horiuchi,"2014Neuromorphic Sensors, Head Direction.Timothy K. Horiuchi"
2014,"Hippocampus, Model Network Architecture.",Sarah Feldt Muldoon,"2014Hippocampus, Model Network Architecture.Sarah Feldt Muldoon"
2014,"Spike Timing-Dependent Plasticity (STDP), Biophysical Models.",Thom Griffith,"2014Spike Timing-Dependent Plasticity (STDP), Biophysical Models.Thom Griffith"
2014,"Control of Breathing, Integration of Adaptive Reflexes.",Chung Tin,"2014Control of Breathing, Integration of Adaptive Reflexes.Chung Tin"
2014,Somatosensory Cortex: Neural Coding of Motion.,Yu-Cheng Pei,2014Somatosensory Cortex: Neural Coding of Motion.Yu-Cheng Pei
2014,Conductance-Based Models of Nonlinear Dynamics in Vertebrate Motoneurons.,Sharmila Venugopal,2014Conductance-Based Models of Nonlinear Dynamics in Vertebrate Motoneurons.Sharmila Venugopal
2014,Estimating Information-Theoretic Quantities.,Robin A. A. Ince,2014Estimating Information-Theoretic Quantities.Robin A. A. Ince
2014,"Visual Prosthesis, Optic Nerve Approaches.",Qiushi Ren,"2014Visual Prosthesis, Optic Nerve Approaches.Qiushi Ren"
2014,Dynamic Diseases of the Brain.,Gerold Baier,2014Dynamic Diseases of the Brain.Gerold Baier
2014,Spike-Triggered Average.,Junji Ito,2014Spike-Triggered Average.Junji Ito
2014,"Recurrent Network Models, Reservoir Computing.",Robert Legenstein,"2014Recurrent Network Models, Reservoir Computing.Robert Legenstein"
2014,"Vestibular, Rehabilitation.",Michael C. Schubert,"2014Vestibular, Rehabilitation.Michael C. Schubert"
2014,Spatial Spectral Analysis.,Armin Fuchs,2014Spatial Spectral Analysis.Armin Fuchs
2014,Cerebellum: Overview.,Fidel Santamaría,2014Cerebellum: Overview.Fidel Santamaría
2014,Modeling the Emergence of Orientation Selectivity in the Cerebral Cortex.,Benjamin Scholl,2014Modeling the Emergence of Orientation Selectivity in the Cerebral Cortex.Benjamin Scholl
2014,Pattern Formation in Neural Population Models.,Axel Hutt,2014Pattern Formation in Neural Population Models.Axel Hutt
2014,"Prosthetic Vision, Perceptual Effects.",Gislin Dagnelie,"2014Prosthetic Vision, Perceptual Effects.Gislin Dagnelie"
2014,Rhythm Perception: Pulse and Meter.,Edward W. Large,2014Rhythm Perception: Pulse and Meter.Edward W. Large
2014,Sound Localization and Experience-Dependent Plasticity.,Christian John Sumner,2014Sound Localization and Experience-Dependent Plasticity.Christian John Sumner
2014,FieldML.,Randall D. Britten,2014FieldML.Randall D. Britten
2014,Lateral Geniculate Nucleus (LGN) Models.,Gaute T. Einevoll,2014Lateral Geniculate Nucleus (LGN) Models.Gaute T. Einevoll
2014,Brain Extracellular Space: A Compartment for Intercellular Communication and Drug Delivery.,Sabina Hrabetova,2014Brain Extracellular Space: A Compartment for Intercellular Communication and Drug Delivery.Sabina Hrabetova
2014,Peripheral Nerve Interface Applications: Respiratory Pacing.,Brian Hillen,2014Peripheral Nerve Interface Applications: Respiratory Pacing.Brian Hillen
2014,"Peripheral Nerve Interface Applications, EMG/ENG.",Mohamed N. Abdelghani,"2014Peripheral Nerve Interface Applications, EMG/ENG.Mohamed N. Abdelghani"
2014,Pulse-Coupled Oscillators.,Carmen C. Canavier,2014Pulse-Coupled Oscillators.Carmen C. Canavier
2014,Computational Models of Modulation of Oscillatory Dynamics.,Pawel Andrzej Herman,2014Computational Models of Modulation of Oscillatory Dynamics.Pawel Andrzej Herman
2014,"Spinal Cord, Integrated (Non CPG) Models of.",Gerald E. Loeb,"2014Spinal Cord, Integrated (Non CPG) Models of.Gerald E. Loeb"
2014,Receptive Field Modeling.,Brian S. Blais,2014Receptive Field Modeling.Brian S. Blais
2014,Topographic Independent Component Analysis.,Aapo Hyvärinen,2014Topographic Independent Component Analysis.Aapo Hyvärinen
2014,Subthalamopallidal Loop and Oscillations.,David Terman,2014Subthalamopallidal Loop and Oscillations.David Terman
2014,Olfactory Computation in Antennal Lobe and Mushroom Bodies.,Maxim Bazhenov,2014Olfactory Computation in Antennal Lobe and Mushroom Bodies.Maxim Bazhenov
